country,year,uniqueid,location_type,cellphone_access,household_size,age_of_respondent,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type
Kenya,2018,uniqueid_5373,Rural,No,8,18,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,uniqueid_4179,Rural,Yes,6,46,Female,Head of Household,Married/Living together,Secondary education,Informally employed
Kenya,2018,uniqueid_2208,Urban,Yes,12,35,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
Rwanda,2016,uniqueid_4007,Rural,No,2,77,Male,Head of Household,Widowed,Primary education,Informally employed
Rwanda,2016,uniqueid_533,Rural,Yes,2,69,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Tanzania,2017,uniqueid_559,Rural,No,2,62,Female,Head of Household,Married/Living together,No formal education,Self employed
Kenya,2018,uniqueid_296,Rural,Yes,7,35,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_5549,Rural,Yes,4,34,Female,Head of Household,Divorced/Seperated,No formal education,Informally employed
Uganda,2018,uniqueid_1591,Rural,Yes,9,58,Female,Spouse,Married/Living together,No formal education,Self employed
Kenya,2018,uniqueid_207,Rural,Yes,6,27,Male,Child,Single/Never Married,Secondary education,Farming and Fishing
Tanzania,2017,uniqueid_5687,Urban,No,3,68,Male,Head of Household,Single/Never Married,No formal education,No Income
Kenya,2018,uniqueid_2112,Rural,Yes,5,43,Male,Head of Household,Married/Living together,Vocational/Specialised training,Farming and Fishing
Rwanda,2016,uniqueid_7836,Rural,Yes,5,34,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_777,Urban,No,2,45,Female,Head of Household,Widowed,Primary education,Self employed
Rwanda,2016,uniqueid_7271,Rural,Yes,4,33,Female,Spouse,Married/Living together,Primary education,Self employed
Kenya,2018,uniqueid_616,Rural,Yes,7,56,Female,Head of Household,Divorced/Seperated,Secondary education,Farming and Fishing
Tanzania,2017,uniqueid_2248,Rural,Yes,3,53,Female,Head of Household,Single/Never Married,Tertiary education,Informally employed
Kenya,2018,uniqueid_2919,Rural,Yes,4,30,Female,Spouse,Married/Living together,No formal education,Self employed
Uganda,2018,uniqueid_1077,Rural,Yes,12,30,Male,Head of Household,Married/Living together,Secondary education,Self employed
Kenya,2018,uniqueid_1234,Rural,Yes,3,51,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Rwanda,2016,uniqueid_4777,Rural,Yes,2,67,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Kenya,2018,uniqueid_3405,Rural,Yes,1,71,Male,Head of Household,Widowed,Primary education,Remittance Dependent
Uganda,2018,uniqueid_1113,Rural,Yes,15,60,Female,Head of Household,Widowed,No formal education,Self employed
Rwanda,2016,uniqueid_3927,Rural,Yes,6,18,Male,Child,Single/Never Married,Primary education,Remittance Dependent
Tanzania,2017,uniqueid_1085,Urban,No,3,29,Female,Spouse,Single/Never Married,Primary education,No Income
Rwanda,2016,uniqueid_4400,Rural,Yes,5,20,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,uniqueid_2001,Rural,Yes,4,62,Male,Head of Household,Married/Living together,Primary education,Self employed
Kenya,2018,uniqueid_1429,Urban,Yes,3,28,Male,Head of Household,Married/Living together,Vocational/Specialised training,Self employed
Kenya,2018,uniqueid_1366,Rural,No,6,80,Female,Head of Household,Widowed,Primary education,Remittance Dependent
Kenya,2018,uniqueid_5608,Urban,Yes,1,62,Male,Head of Household,Married/Living together,No formal education,Self employed
Rwanda,2016,uniqueid_7488,Rural,No,8,42,Female,Head of Household,Divorced/Seperated,No formal education,Self employed
Rwanda,2016,uniqueid_7134,Rural,Yes,7,44,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_2614,Rural,No,3,52,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_1361,Rural,Yes,2,28,Female,Head of Household,Single/Never Married,Primary education,Farming and Fishing
Kenya,2018,uniqueid_5674,Urban,Yes,3,45,Male,Head of Household,Married/Living together,Primary education,Formally employed Private
Rwanda,2016,uniqueid_2060,Rural,Yes,4,53,Male,Head of Household,Married/Living together,No formal education,Self employed
Kenya,2018,uniqueid_1535,Rural,Yes,5,28,Female,Spouse,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_3269,Rural,Yes,2,55,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Tanzania,2017,uniqueid_2128,Urban,Yes,1,65,Female,Head of Household,Married/Living together,Primary education,Self employed
Rwanda,2016,uniqueid_1909,Rural,No,6,43,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Uganda,2018,uniqueid_1889,Rural,No,12,21,Male,Head of Household,Married/Living together,Primary education,Self employed
Kenya,2018,uniqueid_2285,Urban,Yes,6,28,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed
Tanzania,2017,uniqueid_3005,Urban,Yes,1,25,Male,Head of Household,Married/Living together,Primary education,Self employed
Rwanda,2016,uniqueid_3299,Urban,Yes,5,18,Male,Parent,Single/Never Married,Secondary education,Informally employed
Rwanda,2016,uniqueid_4633,Rural,Yes,4,35,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_1598,Rural,Yes,8,48,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Tanzania,2017,uniqueid_764,Urban,Yes,2,17,Male,Other relative,Divorced/Seperated,Secondary education,Self employed
Rwanda,2016,uniqueid_5554,Rural,No,5,37,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_2109,Urban,Yes,2,45,Female,Spouse,Single/Never Married,Tertiary education,Informally employed
Kenya,2018,uniqueid_1922,Urban,Yes,3,31,Female,Head of Household,Married/Living together,Secondary education,Remittance Dependent
Rwanda,2016,uniqueid_7277,Rural,Yes,2,82,Male,Head of Household,Divorced/Seperated,No formal education,Government Dependent
Rwanda,2016,uniqueid_7743,Rural,Yes,5,49,Male,Head of Household,Married/Living together,Secondary education,Informally employed
Kenya,2018,uniqueid_3821,Rural,Yes,1,69,Male,Head of Household,Widowed,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_2502,Rural,Yes,2,60,Male,Head of Household,Single/Never Married,Primary education,Self employed
Kenya,2018,uniqueid_5536,Urban,Yes,1,59,Female,Head of Household,Divorced/Seperated,Primary education,Self employed
Rwanda,2016,uniqueid_5879,Urban,Yes,9,18,Female,Child,Single/Never Married,Secondary education,Informally employed
Rwanda,2016,uniqueid_3228,Rural,Yes,6,51,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_6090,Rural,Yes,3,62,Female,Head of Household,Divorced/Seperated,Primary education,Remittance Dependent
Rwanda,2016,uniqueid_7975,Urban,Yes,6,16,Male,Child,Single/Never Married,Secondary education,Informally employed
Kenya,2018,uniqueid_2964,Urban,Yes,4,24,Female,Spouse,Married/Living together,Primary education,Informally employed
Tanzania,2017,uniqueid_2945,Urban,No,1,60,Female,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_135,Urban,Yes,6,28,Female,Head of Household,Married/Living together,No formal education,Self employed
Tanzania,2017,uniqueid_1078,Urban,No,2,26,Female,Parent,Single/Never Married,Primary education,Remittance Dependent
Uganda,2018,uniqueid_972,Rural,No,2,28,Male,Head of Household,Married/Living together,Primary education,Self employed
Rwanda,2016,uniqueid_6929,Rural,Yes,8,21,Female,Other non-relatives,Single/Never Married,Primary education,Informally employed
Tanzania,2017,uniqueid_2535,Urban,Yes,2,37,Male,Head of Household,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_2849,Rural,Yes,3,42,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_6388,Rural,Yes,5,25,Male,Child,Single/Never Married,Secondary education,Farming and Fishing
Rwanda,2016,uniqueid_1457,Rural,Yes,6,19,Male,Child,Single/Never Married,Secondary education,Other Income
Kenya,2018,uniqueid_2015,Rural,No,5,25,Male,Child,Single/Never Married,Primary education,Informally employed
Kenya,2018,uniqueid_1391,Urban,Yes,3,26,Female,Spouse,Married/Living together,Secondary education,Informally employed
Uganda,2018,uniqueid_221,Rural,Yes,2,20,Female,Spouse,Married/Living together,Primary education,No Income
Rwanda,2016,uniqueid_4466,Urban,Yes,4,36,Female,Other non-relatives,Divorced/Seperated,Primary education,Informally employed
Rwanda,2016,uniqueid_3582,Rural,Yes,6,43,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,uniqueid_2261,Urban,Yes,7,24,Female,Child,Single/Never Married,Secondary education,Self employed
Kenya,2018,uniqueid_5926,Rural,Yes,6,31,Female,Head of Household,Divorced/Seperated,No formal education,Informally employed
Kenya,2018,uniqueid_5820,Rural,No,1,50,Male,Head of Household,Widowed,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_903,Urban,No,4,23,Female,Spouse,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_608,Rural,Yes,5,32,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_761,Rural,Yes,1,72,Male,Head of Household,Widowed,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_1995,Urban,Yes,5,50,Female,Head of Household,Widowed,Primary education,Self employed
Kenya,2018,uniqueid_3523,Rural,Yes,7,31,Female,Child,Divorced/Seperated,Primary education,Informally employed
Tanzania,2017,uniqueid_6370,Urban,Yes,2,27,Female,Head of Household,Married/Living together,Tertiary education,Self employed
Uganda,2018,uniqueid_1784,Rural,Yes,7,19,Female,Spouse,Married/Living together,Primary education,Other Income
Rwanda,2016,uniqueid_6863,Rural,Yes,7,36,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Tanzania,2017,uniqueid_5437,Urban,Yes,2,36,Female,Spouse,Single/Never Married,Primary education,Self employed
Kenya,2018,uniqueid_1905,Rural,Yes,6,38,Female,Head of Household,Single/Never Married,Secondary education,Self employed
Kenya,2018,uniqueid_5041,Rural,No,7,25,Female,Child,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_762,Rural,No,5,27,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_4545,Rural,No,7,33,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_1278,Urban,No,2,18,Male,Head of Household,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_6376,Rural,Yes,6,41,Male,Head of Household,Married/Living together,Primary education,Informally employed
Tanzania,2017,uniqueid_4577,Urban,No,2,35,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1050,Urban,No,2,25,Female,Spouse,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_3608,Rural,Yes,5,53,Female,Head of Household,Widowed,Vocational/Specialised training,Informally employed
Rwanda,2016,uniqueid_934,Rural,Yes,4,19,Female,Parent,Single/Never Married,Primary education,Informally employed
Kenya,2018,uniqueid_1454,Urban,Yes,1,27,Male,Head of Household,Married/Living together,Tertiary education,Other Income
Rwanda,2016,uniqueid_8251,Rural,Yes,3,59,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_5427,Urban,No,2,82,Male,Head of Household,Single/Never Married,No formal education,Self employed
Tanzania,2017,uniqueid_2329,Urban,No,1,18,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed
Rwanda,2016,uniqueid_4189,Rural,Yes,4,27,Female,Child,Single/Never Married,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_792,Rural,No,1,37,Female,Head of Household,Single/Never Married,No formal education,Farming and Fishing
Tanzania,2017,uniqueid_4764,Urban,No,1,38,Female,Head of Household,Married/Living together,Primary education,Self employed
Rwanda,2016,uniqueid_7803,Rural,Yes,5,37,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_6038,Rural,Yes,7,64,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_2748,Rural,Yes,5,20,Male,Child,Single/Never Married,Secondary education,Formally employed Private
Kenya,2018,uniqueid_5076,Rural,Yes,2,34,Male,Head of Household,Married/Living together,Primary education,Self employed
Tanzania,2017,uniqueid_6026,Urban,Yes,1,27,Female,Head of Household,Married/Living together,Secondary education,Self employed
Tanzania,2017,uniqueid_1302,Urban,No,2,35,Female,Spouse,Single/Never Married,Primary education,Self employed
Kenya,2018,uniqueid_2697,Rural,Yes,4,66,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_2882,Rural,Yes,1,38,Female,Head of Household,Married/Living together,Primary education,Informally employed
Tanzania,2017,uniqueid_4628,Urban,Yes,3,45,Female,Spouse,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_338,Rural,Yes,4,37,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_2553,Rural,Yes,5,37,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_5255,Rural,Yes,4,49,Male,Parent,Divorced/Seperated,Primary education,Remittance Dependent
Uganda,2018,uniqueid_1816,Rural,Yes,10,22,Male,Parent,Single/Never Married,Secondary education,Other Income
Kenya,2018,uniqueid_1670,Rural,Yes,1,86,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Kenya,2018,uniqueid_4113,Rural,Yes,8,32,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_2542,Urban,No,2,30,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_4676,Urban,No,2,22,Female,Spouse,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_2612,Rural,Yes,4,19,Male,Child,Single/Never Married,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_832,Urban,No,4,22,Female,Child,Divorced/Seperated,No formal education,Self employed
Tanzania,2017,uniqueid_5421,Urban,Yes,2,45,Female,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_6323,Urban,Yes,3,43,Male,Head of Household,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_2734,Rural,Yes,3,38,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_247,Urban,Yes,3,29,Female,Spouse,Married/Living together,Secondary education,Remittance Dependent
Rwanda,2016,uniqueid_3209,Rural,Yes,5,22,Female,Spouse,Single/Never Married,Secondary education,Farming and Fishing
Kenya,2018,uniqueid_4929,Rural,No,1,89,Female,Head of Household,Widowed,No formal education,Remittance Dependent
Tanzania,2017,uniqueid_634,Urban,No,1,69,Female,Head of Household,Single/Never Married,No formal education,No Income
Kenya,2018,uniqueid_516,Rural,Yes,6,28,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_5695,Urban,No,6,30,Female,Head of Household,Divorced/Seperated,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_4842,Rural,Yes,3,69,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Tanzania,2017,uniqueid_6156,Rural,Yes,4,62,Female,Head of Household,Widowed,No formal education,Formally employed Private
Tanzania,2017,uniqueid_186,Urban,No,2,78,Male,Head of Household,Married/Living together,Primary education,Self employed
Kenya,2018,uniqueid_1498,Rural,Yes,4,28,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_3438,Rural,No,1,67,Female,Head of Household,Widowed,No formal education,Remittance Dependent
Rwanda,2016,uniqueid_2740,Rural,Yes,1,29,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Rwanda,2016,uniqueid_1729,Rural,Yes,4,32,Male,Head of Household,Married/Living together,No formal education,Informally employed
Tanzania,2017,uniqueid_5030,Urban,No,5,43,Female,Spouse,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_5099,Rural,Yes,6,29,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_5327,Urban,No,4,47,Female,Spouse,Single/Never Married,Primary education,Self employed
Kenya,2018,uniqueid_776,Urban,Yes,3,26,Female,Head of Household,Married/Living together,Primary education,Remittance Dependent
Rwanda,2016,uniqueid_7204,Urban,Yes,5,30,Male,Head of Household,Married/Living together,Tertiary education,Informally employed
Rwanda,2016,uniqueid_1222,Rural,No,3,28,Male,Head of Household,Married/Living together,No formal education,Informally employed
Rwanda,2016,uniqueid_2870,Urban,Yes,3,27,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_3673,Rural,Yes,3,32,Female,Spouse,Married/Living together,No formal education,Informally employed
Tanzania,2017,uniqueid_6545,Urban,Yes,2,75,Male,Head of Household,Single/Never Married,No formal education,Self employed
Uganda,2018,uniqueid_2073,Rural,No,3,30,Male,Head of Household,Married/Living together,Primary education,Self employed
Kenya,2018,uniqueid_1434,Rural,No,7,26,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_1792,Rural,Yes,6,45,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_2775,Urban,Yes,3,47,Female,Spouse,Married/Living together,Vocational/Specialised training,Farming and Fishing
Tanzania,2017,uniqueid_3114,Urban,No,2,39,Female,Spouse,Single/Never Married,Primary education,Informally employed
Kenya,2018,uniqueid_5002,Rural,Yes,1,71,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_5994,Rural,Yes,3,31,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Uganda,2018,uniqueid_1049,Rural,No,3,60,Female,Head of Household,Divorced/Seperated,No formal education,No Income
Kenya,2018,uniqueid_1217,Urban,Yes,1,31,Male,Head of Household,Divorced/Seperated,Secondary education,Informally employed
Uganda,2018,uniqueid_479,Rural,No,2,18,Female,Spouse,Married/Living together,Primary education,Self employed
Uganda,2018,uniqueid_904,Rural,Yes,8,35,Male,Head of Household,Married/Living together,Secondary education,Self employed
Rwanda,2016,uniqueid_6822,Rural,Yes,4,23,Male,Child,Single/Never Married,Secondary education,Self employed
Uganda,2018,uniqueid_775,Rural,No,7,43,Female,Child,Married/Living together,No formal education,Other Income
Uganda,2018,uniqueid_618,Rural,Yes,7,37,Male,Head of Household,Married/Living together,Secondary education,Self employed
Rwanda,2016,uniqueid_4650,Rural,No,7,46,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_8682,Rural,Yes,4,35,Female,Head of Household,Divorced/Seperated,Primary education,Other Income
Rwanda,2016,uniqueid_3332,Rural,Yes,1,80,Male,Head of Household,Widowed,No formal education,Informally employed
Rwanda,2016,uniqueid_7809,Rural,Yes,5,37,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_2424,Rural,Yes,1,32,Male,Head of Household,Married/Living together,Primary education,Formally employed Private
Kenya,2018,uniqueid_2885,Rural,Yes,1,26,Male,Head of Household,Divorced/Seperated,Primary education,Informally employed
Kenya,2018,uniqueid_3289,Rural,Yes,1,41,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Kenya,2018,uniqueid_2072,Rural,Yes,1,82,Male,Head of Household,Widowed,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_3566,Urban,Yes,2,49,Male,Head of Household,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_7539,Rural,No,5,53,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_1164,Rural,Yes,5,31,Male,Head of Household,Married/Living together,Secondary education,Informally employed
Rwanda,2016,uniqueid_4664,Rural,Yes,5,35,Female,Spouse,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_5172,Rural,Yes,3,70,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Tanzania,2017,uniqueid_2640,Rural,No,1,30,Male,Head of Household,Divorced/Seperated,Primary education,Self employed
Rwanda,2016,uniqueid_993,Rural,Yes,3,24,Female,Head of Household,Single/Never Married,Primary education,Informally employed
Tanzania,2017,uniqueid_4804,Urban,Yes,2,28,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
Kenya,2018,uniqueid_3184,Rural,No,4,20,Male,Child,Married/Living together,No formal education,Farming and Fishing
Uganda,2018,uniqueid_128,Rural,Yes,7,37,Female,Head of Household,Married/Living together,Primary education,Self employed
Rwanda,2016,uniqueid_8711,Rural,Yes,3,24,Male,Child,Single/Never Married,Secondary education,Informally employed
Kenya,2018,uniqueid_4037,Rural,Yes,2,42,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Rwanda,2016,uniqueid_8123,Rural,Yes,5,54,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_5233,Urban,Yes,5,19,Male,Child,Single/Never Married,Secondary education,Other Income
Rwanda,2016,uniqueid_1823,Rural,Yes,4,29,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_7176,Rural,No,1,69,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Kenya,2018,uniqueid_3307,Urban,Yes,2,23,Male,Child,Single/Never Married,Tertiary education,Formally employed Private
Kenya,2018,uniqueid_490,Rural,Yes,4,60,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Rwanda,2016,uniqueid_4274,Rural,Yes,1,35,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_8006,Rural,Yes,3,21,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_2697,Rural,Yes,3,28,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_2365,Rural,Yes,6,72,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_2680,Rural,No,1,41,Male,Head of Household,Married/Living together,Primary education,Informally employed
Tanzania,2017,uniqueid_6176,Rural,Yes,1,22,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1684,Urban,Yes,4,54,Male,Head of Household,Single/Never Married,Tertiary education,Formally employed Private
Rwanda,2016,uniqueid_4521,Rural,No,4,60,Female,Spouse,Married/Living together,No formal education,Self employed
Rwanda,2016,uniqueid_1535,Rural,Yes,1,56,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Kenya,2018,uniqueid_3853,Urban,Yes,1,24,Male,Head of Household,Married/Living together,Secondary education,Formally employed Private
Kenya,2018,uniqueid_4950,Rural,No,4,52,Female,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_2416,Rural,Yes,4,45,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_6476,Rural,Yes,7,17,Female,Child,Single/Never Married,Primary education,Farming and Fishing
Kenya,2018,uniqueid_386,Urban,No,2,17,Male,Child,Single/Never Married,Primary education,Remittance Dependent
Kenya,2018,uniqueid_1386,Urban,No,1,70,Female,Head of Household,Widowed,No formal education,Remittance Dependent
Tanzania,2017,uniqueid_3637,Urban,No,3,16,Female,Parent,Divorced/Seperated,Secondary education,No Income
Uganda,2018,uniqueid_1845,Rural,Yes,10,38,Female,Spouse,Married/Living together,Primary education,Dont Know/Refuse to answer
Rwanda,2016,uniqueid_4887,Rural,Yes,9,50,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Uganda,2018,uniqueid_268,Rural,Yes,5,38,Male,Head of Household,Married/Living together,Primary education,Formally employed Private
Kenya,2018,uniqueid_556,Rural,Yes,4,50,Male,Other relative,Divorced/Seperated,Secondary education,Farming and Fishing
Kenya,2018,uniqueid_2734,Rural,Yes,7,76,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Tanzania,2017,uniqueid_4610,Urban,No,1,66,Female,Head of Household,Widowed,No formal education,Government Dependent
Tanzania,2017,uniqueid_2064,Urban,Yes,2,51,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Rwanda,2016,uniqueid_6456,Rural,Yes,3,23,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Rwanda,2016,uniqueid_2737,Rural,Yes,6,37,Male,Head of Household,Married/Living together,No formal education,Informally employed
Rwanda,2016,uniqueid_4730,Rural,Yes,5,67,Female,Spouse,Married/Living together,No formal education,Informally employed
Tanzania,2017,uniqueid_3740,Urban,Yes,3,50,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Tanzania,2017,uniqueid_2511,Urban,No,3,47,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1498,Urban,Yes,2,30,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_3134,Urban,No,2,20,Female,Spouse,Single/Never Married,No formal education,Self employed
Rwanda,2016,uniqueid_2089,Rural,No,4,26,Female,Spouse,Married/Living together,Primary education,Informally employed
Uganda,2018,uniqueid_1518,Rural,Yes,9,48,Female,Head of Household,Divorced/Seperated,Secondary education,Self employed
Kenya,2018,uniqueid_985,Rural,Yes,3,43,Female,Spouse,Married/Living together,Secondary education,Self employed
Rwanda,2016,uniqueid_276,Rural,Yes,7,34,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_2299,Rural,Yes,5,30,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_4840,Rural,No,2,77,Female,Head of Household,Widowed,No formal education,Government Dependent
Kenya,2018,uniqueid_353,Urban,Yes,7,45,Male,Head of Household,Married/Living together,Secondary education,Formally employed Government
Kenya,2018,uniqueid_688,Urban,Yes,4,64,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_8317,Rural,Yes,7,19,Female,Parent,Single/Never Married,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_3393,Urban,Yes,4,51,Male,Head of Household,Single/Never Married,Primary education,Self employed
Kenya,2018,uniqueid_1538,Rural,Yes,1,38,Male,Head of Household,Divorced/Seperated,Primary education,Informally employed
Kenya,2018,uniqueid_3829,Rural,Yes,6,36,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_2564,Rural,No,1,61,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Tanzania,2017,uniqueid_322,Urban,No,1,65,Female,Head of Household,Widowed,No formal education,Self employed
Rwanda,2016,uniqueid_8466,Rural,Yes,4,16,Male,Other relative,Single/Never Married,Secondary education,Remittance Dependent
Tanzania,2017,uniqueid_2822,Urban,Yes,2,21,Female,Spouse,Single/Never Married,Tertiary education,Self employed
Rwanda,2016,uniqueid_8607,Urban,Yes,5,34,Female,Spouse,Married/Living together,Tertiary education,Other Income
Kenya,2018,uniqueid_305,Rural,Yes,1,25,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_3948,Rural,Yes,9,20,Male,Child,Single/Never Married,Tertiary education,Remittance Dependent
Tanzania,2017,uniqueid_6351,Rural,Yes,2,25,Female,Spouse,Single/Never Married,Tertiary education,Remittance Dependent
Rwanda,2016,uniqueid_5526,Rural,Yes,5,31,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_3435,Urban,Yes,6,33,Male,Child,Single/Never Married,Secondary education,Other Income
Rwanda,2016,uniqueid_1603,Rural,Yes,9,65,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_4678,Urban,Yes,3,31,Female,Spouse,Married/Living together,Vocational/Specialised training,Remittance Dependent
Kenya,2018,uniqueid_5151,Rural,Yes,2,72,Female,Head of Household,Widowed,Vocational/Specialised training,Remittance Dependent
Kenya,2018,uniqueid_3188,Urban,Yes,1,22,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Kenya,2018,uniqueid_6015,Rural,Yes,4,30,Male,Child,Single/Never Married,Primary education,Informally employed
